"","graph.type","degree","p","mu","fw","bw","size","graph.no","lambda_0","lambda_1","lambda_2"
"1","forest-fire",NA,NA,NA,0.37,0.33,1000,1,-1.5,1.0,0.0
"2","forest-fire",NA,NA,NA,0.37,0.33,1000,4,-1.5,1.0,0.1
"3","forest-fire",NA,NA,NA,0.37,0.33,1000,7,-1.5,1.0,0.5
"4","forest-fire",NA,NA,NA,0.37,0.33,1000,10,-1.5,1.0,1.0
"5","small-world",5,0.05,NA,NA,NA,1000,3,-1.5,1.0,0.0
"6","small-world",5,0.05,NA,NA,NA,1000,6,-1.5,1.0,0.1
"7","small-world",5,0.05,NA,NA,NA,1000,9,-1.5,1.0,0.5
"8","small-world",5,0.05,NA,NA,NA,1000,12,-1.5,1.0,1.0
"9","sbm",NA,NA,0.2,NA,NA,1000,2,-1.5,1.0,0.0
"10","sbm",NA,NA,0.2,NA,NA,1000,5,-1.5,1.0,0.1
"11","sbm",NA,NA,0.2,NA,NA,1000,8,-1.5,1.0,0.5
"12","sbm",NA,NA,0.2,NA,NA,1000,11,-1.5,1.0,1.0
"13","stars",NA,NA,NA,NA,NA,1000,13,-1.5,1.0,0.0
"14","stars",NA,NA,NA,NA,NA,1000,14,-1.5,1.0,0.1
"15","stars",NA,NA,NA,NA,NA,1000,15,-1.5,1.0,0.5
"16","stars",NA,NA,NA,NA,NA,1000,16,-1.5,1.0,1.0
"17","facebook",NA,NA,NA,NA,NA,4039,17,-1.5,1.0,0.0
"18","facebook",NA,NA,NA,NA,NA,4039,18,-1.5,1.0,0.1
"19","facebook",NA,NA,NA,NA,NA,4039,19,-1.5,1.0,0.5
"20","facebook",NA,NA,NA,NA,NA,4039,20,-1.5,1.0,1.0
